date,open,close,high,low,volume,amount
2024-09-18,236.44,245.17,247.46,234.24,14958.0,363645000.0
2024-09-19,245.0,238.2,250.88,237.33,25187.0,612210413.0
2024-09-20,236.99,236.36,238.29,230.5,22223.0,521183108.0
2024-09-23,237.0,233.69,243.88,231.5,21490.0,508088856.0
2024-09-24,235.3,238.88,242.0,226.77,30796.0,722224255.0
2024-09-25,240.0,217.98,241.88,217.01,67519.0,1534498448.0
2024-09-26,217.8,219.81,220.66,207.14,52586.0,1124041678.0
2024-09-27,223.95,231.6,239.88,220.14,40394.0,942483219.0
2024-09-30,247.83,277.92,277.92,242.73,89511.0,2338933001.0
2024-10-08,333.5,315.0,333.5,282.3,146523.0,4464632891.0
2024-10-09,300.0,268.38,300.0,258.79,116791.0,3243129420.0
2024-10-10,273.0,267.17,280.93,262.13,61814.0,1679427137.0
2024-10-11,270.0,251.9,270.0,251.3,43020.0,1105770385.0
2024-10-14,255.0,262.39,265.98,248.51,47298.0,1219091760.0
2024-10-15,262.0,256.37,267.0,256.37,40737.0,1064612760.0
2024-10-16,250.78,248.54,254.85,247.55,36017.0,903201659.0
2024-10-17,250.0,244.6,259.5,244.0,39761.0,999376606.0
2024-10-18,247.47,263.8,273.98,246.0,80397.0,2101317281.0
2024-10-21,269.3,276.0,279.98,265.11,71106.0,1941211958.0
2024-10-22,278.63,268.49,278.73,268.0,46223.0,1255054786.0
2024-10-23,268.5,264.49,270.07,263.5,27384.0,727821421.0
2024-10-24,261.02,260.58,263.96,259.21,19528.0,508516767.0
2024-10-25,259.0,266.01,269.95,257.0,32136.0,849543509.0
2024-10-28,266.7,276.79,280.59,264.0,41493.0,1135256230.0
2024-10-29,276.81,270.0,282.57,269.52,42211.0,1165008264.0
2024-10-30,268.98,264.79,276.33,263.41,31963.0,854305247.0
2024-10-31,238.8,235.6,240.0,211.83,143375.0,3208596561.0
2024-11-01,225.25,224.44,230.49,223.72,62483.0,1416603722.0
2024-11-04,226.42,232.65,237.98,224.0,42787.0,996102173.0
2024-11-05,232.65,233.22,236.88,226.22,49240.0,1140058707.0
2024-11-06,233.18,228.27,240.99,226.0,52563.0,1228024528.0
2024-11-07,223.3,220.0,227.0,218.42,94418.0,2088279886.0
2024-11-08,222.14,218.91,225.54,216.55,65985.0,1459041194.0
2024-11-11,216.51,223.0,223.4,214.5,63576.0,1396219040.0
2024-11-12,226.0,223.08,226.5,222.0,45720.0,1026887341.0
2024-11-13,222.0,230.96,232.0,221.81,49514.0,1126742382.0
2024-11-14,231.0,226.9,232.96,226.6,33843.0,775206744.0
2024-11-15,224.0,218.95,226.0,218.88,28952.0,642163640.0
2024-11-18,220.0,217.78,220.99,214.23,22050.0,478649354.0
2024-11-19,217.5,218.72,219.95,213.66,25194.0,545507894.0
2024-11-20,218.0,215.93,218.0,215.3,22994.0,497082863.0
2024-11-21,215.97,213.07,216.11,212.66,24879.0,531534334.0
2024-11-22,213.25,203.52,215.34,202.58,34056.0,710925326.0
2024-11-25,204.0,196.41,204.82,193.8,37106.0,732214301.0
2024-11-26,196.0,197.5,199.99,193.88,19162.0,379951150.0
2024-11-27,197.64,208.84,210.0,194.02,45608.0,937493220.0
2024-11-28,208.6,205.5,209.5,204.61,26229.0,542655996.0
2024-11-29,204.66,214.5,215.49,204.5,44860.0,952207994.0
2024-12-02,218.79,222.51,222.6,214.0,46494.0,1018593091.0
2024-12-03,219.85,222.54,224.56,219.01,21815.0,483672047.0
2024-12-04,221.61,217.8,222.2,215.51,27945.0,608653599.0
2024-12-05,216.05,218.11,220.7,216.03,17873.0,390546397.0
2024-12-06,218.0,226.0,229.0,217.3,35402.0,801360177.0
2024-12-09,225.0,226.51,229.62,221.6,25404.0,574454564.0
2024-12-10,236.1,231.64,236.71,228.5,41374.0,960445385.0
2024-12-11,231.63,224.51,232.52,223.2,35811.0,817090891.0
2024-12-12,225.0,223.12,226.83,220.52,41975.0,938354384.0
2024-12-13,220.5,223.12,226.73,218.18,89351.0,1983598672.0
2024-12-16,220.8,222.94,225.5,216.6,37676.0,831960863.0
2024-12-17,220.99,224.31,229.66,220.88,29865.0,677864709.0
2024-12-18,224.27,221.38,224.93,217.88,23288.0,513592156.0
2024-12-19,218.01,218.22,219.82,216.29,21504.0,468185134.0
2024-12-20,219.2,216.02,220.44,216.02,23616.0,514283168.0
2024-12-23,216.9,215.4,219.39,212.46,26915.0,580736780.0
2024-12-24,215.12,215.96,219.19,214.67,16634.0,360238030.0
2024-12-25,215.99,212.66,215.99,210.0,21880.0,465640516.0
2024-12-26,212.0,210.0,213.87,209.7,18898.0,399790647.0
2024-12-27,209.07,211.02,213.42,207.19,25174.0,529341160.0
2024-12-30,211.02,222.68,224.3,211.02,45502.0,1003832132.0
2024-12-31,222.8,219.29,225.0,218.5,28250.0,625735273.0
2025-01-02,219.3,220.3,228.95,216.13,38371.0,854515505.0
2025-01-03,221.3,226.12,230.88,221.3,45066.0,1025794511.0
2025-01-06,228.9,235.19,237.96,222.75,52244.0,1214222071.0
2025-01-07,235.0,234.18,245.0,230.38,50815.0,1209062356.0
2025-01-08,231.8,240.91,243.0,231.25,38092.0,905861754.0
2025-01-09,239.86,235.28,239.86,234.51,26071.0,616199938.0
2025-01-10,233.98,223.8,233.98,223.6,30685.0,698021432.0
2025-01-13,223.9,219.99,227.57,218.98,23290.0,518061681.0
2025-01-14,220.0,226.5,226.88,218.0,28030.0,626036342.0
2025-01-15,226.0,224.03,229.87,222.5,23053.0,521118282.0
2025-01-16,226.0,237.3,239.92,224.12,41479.0,977016849.0
2025-01-17,235.72,237.1,240.5,232.63,24333.0,575833714.0
2025-01-20,238.83,235.0,240.93,233.85,22692.0,538812478.0
2025-01-21,236.0,238.66,239.73,232.5,25585.0,604033872.0
2025-01-22,236.28,235.22,238.66,228.07,26845.0,625140111.0
2025-01-23,235.51,229.18,237.93,228.51,28143.0,655575427.0
2025-01-24,228.0,227.78,229.92,223.12,27207.0,614608808.0
2025-01-27,228.21,228.79,234.81,226.03,27394.0,633032431.0
2025-02-05,232.01,223.55,232.19,215.81,39211.0,865801931.0
2025-02-06,221.0,234.76,236.49,221.0,42468.0,978732051.0
2025-02-07,234.76,237.03,240.67,232.17,37028.0,879670042.0
2025-02-10,237.9,239.1,243.88,236.56,27631.0,661002380.0
2025-02-11,240.0,239.18,244.5,237.5,28542.0,688167781.0
2025-02-12,237.0,236.32,244.38,234.25,30542.0,725897383.0
2025-02-13,235.96,244.95,249.8,234.86,50071.0,1226490672.0
2025-02-14,243.27,256.6,263.0,243.1,51473.0,1306149434.0
2025-02-17,260.0,254.12,260.01,248.5,39197.0,990860144.0
2025-02-18,252.0,245.3,255.73,244.8,44426.0,1110563862.0
2025-02-19,244.55,248.03,251.2,243.01,43208.0,1068128042.0
2025-02-20,248.08,252.23,254.88,245.17,33786.0,849458901.0
2025-02-21,253.51,269.39,272.42,245.35,65959.0,1704588308.0
2025-02-24,268.93,265.59,270.31,259.11,39637.0,1052263941.0
2025-02-25,260.5,260.1,265.6,259.73,33146.0,867429790.0
2025-02-26,260.1,260.22,265.99,257.01,44129.0,1152736065.0
2025-02-27,260.99,254.28,264.43,251.21,38394.0,988697384.0
2025-02-28,245.0,239.0,247.0,235.02,52235.0,1261906079.0
2025-03-03,240.0,234.76,243.5,232.94,41879.0,994339552.0
2025-03-04,234.06,235.62,236.84,233.08,26203.0,616147926.0
2025-03-05,234.99,234.8,236.5,233.12,23927.0,562244475.0
2025-03-06,236.9,245.98,245.98,233.28,45486.0,1089214297.0
2025-03-07,245.0,242.86,245.56,241.51,25584.0,622328009.0
2025-03-10,242.88,245.82,246.07,239.05,26980.0,655536882.0
2025-03-11,242.86,242.22,245.72,237.7,24664.0,593715618.0
2025-03-12,242.0,237.84,243.68,237.51,28518.0,683358161.0
2025-03-13,237.0,240.9,242.5,236.65,29424.0,705562044.0
2025-03-14,240.89,247.2,247.5,239.35,31638.0,772822076.0
2025-03-17,249.0,248.35,251.6,246.14,22267.0,554237799.0
2025-03-18,250.25,255.25,255.54,249.0,26160.0,660785892.0
2025-03-19,254.0,257.95,264.0,253.2,31754.0,825336597.0
2025-03-20,258.0,249.78,260.45,249.31,25951.0,659133312.0
2025-03-21,256.0,250.0,264.77,249.5,40099.0,1025831309.0
2025-03-24,250.05,254.8,256.75,248.4,25024.0,633631378.0
2025-03-25,253.5,251.22,254.78,248.8,20177.0,506538463.0
2025-03-26,250.7,244.6,252.33,244.5,21683.0,534798227.0
2025-03-27,244.6,249.51,254.85,243.18,22503.0,561147652.0
2025-03-28,248.2,246.26,249.9,245.42,14932.0,369097662.0
2025-03-31,245.52,243.18,248.4,241.6,18407.0,450688637.0
2025-04-01,243.51,245.32,246.4,241.52,11778.0,288282583.0
2025-04-02,244.75,247.4,248.4,240.71,13195.0,323378943.0
2025-04-03,238.0,226.03,239.0,218.26,70546.0,1602812443.0
2025-04-07,201.69,188.07,211.66,180.82,69762.0,1350908096.0
2025-04-08,188.49,184.52,193.0,178.67,54265.0,1001091342.0
2025-04-09,176.3,186.81,187.2,173.0,55243.0,1004618020.0
2025-04-10,198.88,195.0,203.0,190.66,51901.0,1020494568.0
2025-04-11,192.0,190.8,192.99,185.32,48436.0,913740878.0
2025-04-14,193.0,188.98,193.99,187.8,31312.0,597721542.0
2025-04-15,188.97,185.5,189.4,182.7,32381.0,598001070.0
2025-04-16,185.89,183.6,185.89,181.13,23503.0,429072171.0
2025-04-17,181.07,183.79,184.96,181.01,20374.0,374381723.0
2025-04-18,183.8,181.9,184.5,180.09,17414.0,316356042.0
2025-04-21,181.91,184.49,185.4,179.8,22134.0,405280721.0
2025-04-22,184.83,185.0,188.31,183.11,20463.0,380357484.0
2025-04-23,190.11,187.8,192.18,187.11,28830.0,545606186.0
2025-04-24,186.98,188.47,192.2,186.98,24358.0,462153631.0
2025-04-25,189.03,191.28,194.77,189.0,26760.0,515610039.0
2025-04-28,192.0,188.0,192.07,187.31,16450.0,310194439.0
2025-04-29,188.88,185.47,188.88,183.78,15708.0,293020891.0
2025-04-30,181.0,193.48,193.54,180.0,48773.0,921473130.0
2025-05-06,193.05,197.0,199.0,190.01,24800.0,487040878.0
2025-05-07,203.88,200.08,206.0,198.11,30641.0,618197823.0
2025-05-08,199.71,204.4,205.3,199.01,21571.0,439314927.0
2025-05-09,203.54,203.4,205.5,201.41,13599.0,276411675.0
2025-05-12,206.88,217.67,218.19,206.88,35049.0,742038323.0
2025-05-13,221.2,213.99,222.0,212.0,26514.0,571463904.0
2025-05-14,213.0,218.5,219.99,210.87,25867.0,562005289.0
2025-05-15,217.48,220.68,220.78,214.2,22665.0,494390032.0
2025-05-16,219.68,218.0,220.8,216.28,18504.0,404895670.0
2025-05-19,216.69,219.79,221.96,213.02,16379.0,356143940.0
2025-05-20,219.0,230.47,232.61,218.9,30132.0,685010662.0
2025-05-21,225.8,229.35,237.48,225.46,29181.0,677399339.0
2025-05-22,228.23,237.6,238.0,227.28,30015.0,707612247.0
2025-05-23,236.3,243.01,243.5,235.02,29025.0,701162795.0
2025-05-26,242.1,232.5,243.0,230.49,29274.0,689423559.0
2025-05-27,233.01,229.79,234.5,229.02,14405.0,332207388.0
2025-05-28,230.73,236.96,238.5,229.02,20944.0,491245464.0
2025-05-29,236.19,227.64,238.1,226.03,21992.0,506052217.0
2025-05-30,227.64,227.48,230.8,226.12,13232.0,302917314.0
2025-06-03,225.4,228.0,228.84,224.11,18534.0,418749299.0
2025-06-04,228.5,229.39,230.23,226.0,8693.0,199094588.0
2025-06-05,229.43,221.37,230.0,221.0,25110.0,560217845.0
2025-06-06,221.4,222.7,223.4,219.22,10158.0,225503379.0
2025-06-09,222.8,220.25,222.8,216.5,17651.0,387570412.0
2025-06-10,220.23,218.33,223.55,218.18,13064.0,288074031.0
2025-06-11,218.6,217.85,221.76,217.55,12836.0,281071494.0
2025-06-12,217.01,216.08,219.5,215.68,12562.0,272687176.0
2025-06-13,215.01,212.85,216.0,211.5,22176.0,472982644.0
2025-06-16,212.5,213.12,215.42,209.41,13278.0,282160705.0
2025-06-17,213.69,211.75,215.4,210.02,11313.0,240512484.0
2025-06-18,211.21,208.95,212.68,208.3,11154.0,233951799.0
2025-06-19,208.1,208.5,212.0,207.0,12315.0,257807536.0
2025-06-20,208.34,208.54,209.99,205.41,16151.0,335210097.0
2025-06-23,207.15,201.0,208.5,200.08,35114.0,711660911.0
2025-06-24,143.7,143.75,146.44,142.89,37745.0,544426851.0
2025-06-25,144.0,152.8,153.38,144.0,50113.0,751976761.0
2025-06-26,153.0,158.4,160.58,153.0,55279.0,874644026.0
2025-06-27,158.4,156.18,159.88,155.34,23312.0,366340682.0
2025-06-30,156.66,156.55,158.49,155.11,21917.0,342950168.0
2025-07-01,156.28,154.64,157.3,153.77,25454.0,395566389.0
